itemName,itemKind,category,equipLevel,craftType,detailUrl,baseValueRows,baseValueFlat,baseValueRawLines
"守護竜のつるぎ","武器","片手剣","132","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_shugoryuunotsurugi.html","[]","[]","[""守護竜のつるぎの特性""]"
"レオンソード","武器","片手剣","130","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_reonso-do.html","[]","[]","[""レオンソードの特性""]"
"不浄の滅剣","武器","片手剣","128","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_fujonomekken.html","[]","[]","[""不浄の滅剣の特性""]"
"コメットソード","武器","片手剣","125","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_komettoso-do.html","[]","[]","[""コメットソードの特性""]"
"セーラスソード","武器","片手剣","120","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_se-rasuso-do.html","[]","[]","[""セーラスソードの特性""]"
"妖精の剣","武器","片手剣","118","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_yoseinoken.html","[]","[]","[""320 327"",""320 327"",""400 410"",""妖精の剣の特性"",""たたき変化（倍半）""]"
"輝天のつるぎ","武器","片手剣","115","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_kitennotsurugi.html","[[""300-306""],[""320-328""],[""375-385""]]","[""300-306"",""320-328"",""375-385""]","[""300-306"",""320-328"",""375-385"",""輝天のつるぎの特性"",""集中力変化（虹）""]"
"鳴神のつるぎ","武器","片手剣","110","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_narukaminotsurugi.html","[[""370-380""],[""315-321""],[""300-309""]]","[""370-380"",""315-321"",""300-309""]","[""370-380"",""315-321"",""300-309"",""鳴神のつるぎの特性"",""集中力変化（虹）""]"
"デッドリーソード","武器","片手剣","108","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_deddori-so-do.html","[]","[]","[""デッドリーソードの特性""]"
"呪印のつるぎ","武器","片手剣","105","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_juinnotsurugi.html","[[""300-310""],[""300-310""],[""350-356""]]","[""300-310"",""300-310"",""350-356""]","[""300-310"",""300-310"",""350-356"",""呪印のつるぎの特性""]"
"邪紋のつるぎ","武器","片手剣","100","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_jamonnotsurugi.html","[[""294-304""],[""318-326""],[""328-336""]]","[""294-304"",""318-326"",""328-336""]","[""294-304"",""318-326"",""328-336"",""邪紋のつるぎの特性"",""メーター減少（戻り）""]"
"アカシックソード","武器","片手剣","99","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_akashikkuso-do.html","[[""284-294""],[""320-326""],[""316-326""]]","[""284-294"",""320-326"",""316-326""]","[""284-294"",""320-326"",""316-326"",""アカシックソードの特性"",""メーター減少（戻り）""]"
"天恵石のつるぎ","武器","片手剣","96","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_tenkeisekinotsurugi.html","[[""300-310""],[""368-374""],[""300-310""]]","[""300-310"",""368-374"",""300-310""]","[""300-310"",""368-374"",""300-310"",""天恵石のつるぎの特性"",""たたき変化（倍半）""]"
"セイクリッドソード","武器","片手剣","93","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_seikuriddoso-do.html","[[""260-270""],[""260-270""],[""320-326""]]","[""260-270"",""260-270"",""320-326""]","[""260-270"",""260-270"",""320-326"",""セイクリッドソードの特性"",""メーター減少（戻り）""]"
"はやぶさの剣改","武器","片手剣","90","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_hayabusanokenkai.html","[[""341-347""],[""294-304""],[""245-255""]]","[""341-347"",""294-304"",""245-255""]","[""341-347"",""294-304"",""245-255"",""はやぶさの剣改の特性"",""たたき変化（倍半）""]"
"戦姫のレイピア","武器","片手剣","85","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_senkinoreipia.html","[[""220-226""],[""252-262""],[""288-298""]]","[""220-226"",""252-262"",""288-298""]","[""220-226"",""252-262"",""288-298"",""戦姫のレイピアの特性"",""メーター減少（戻り）""]"
"名刀 斬鉄丸","武器","片手剣","80","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_meitozantetsumaru.html","[[""335-341""],[""265-275""],[""192-202""]]","[""335-341"",""265-275"",""192-202""]","[""335-341"",""265-275"",""192-202"",""名刀 斬鉄丸の特性"",""たたき変化（倍半）""]"
"天命のつるぎ","武器","片手剣","80","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_temmeinotsurugi.html","[[""220-230""],[""300-306""],[""220-230""]]","[""220-230"",""300-306"",""220-230""]","[""220-230"",""300-306"",""220-230"",""天命のつるぎの特性"",""メーター減少（戻り）""]"
"ライトニングソード","武器","片手剣","75","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_raitoninguso-do.html","[[""170-180""],[""250-260""],[""350-356""]]","[""170-180"",""250-260"",""350-356""]","[""170-180"",""250-260"",""350-356"",""ライトニングソードの特性"",""たたき変化（倍半）""]"
"聖王のつるぎ","武器","片手剣","70","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_seionotsurugi.html","[[""270-280""],[""200-206""],[""300-310""]]","[""270-280"",""200-206"",""300-310""]","[""270-280"",""200-206"",""300-310"",""聖王のつるぎの特性"",""たたき変化（倍半）""]"
"ほしくずのつるぎ","武器","片手剣","65","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_hoshikuzunotsurugi.html","[[""180-188""],[""270-282""],[""230-236""]]","[""180-188"",""270-282"",""230-236""]","[""180-188"",""270-282"",""230-236"",""ほしくずのつるぎの特性"",""メーター減少（戻り）""]"
"メタスラの剣","武器","片手剣","60","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_metasuranoken.html","[[""140-144""],[""280-291""],[""180-190""]]","[""140-144"",""280-291"",""180-190""]","[""140-144"",""280-291"",""180-190"",""メタスラの剣の特性"",""たたき変化（倍半）""]"
"オニキスの魔剣","武器","片手剣","60","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_onikisunomaken.html","[[""154-164""],[""240-250""],[""310-316""]]","[""154-164"",""240-250"",""310-316""]","[""154-164"",""240-250"",""310-316"",""オニキスの魔剣の特性"",""たたき変化（倍半）""]"
"ほのおのつるぎ","武器","片手剣","50","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_hononotsurugi.html","[[""130-135""],[""160-168""],[""220-230""]]","[""130-135"",""160-168"",""220-230""]","[""130-135"",""160-168"",""220-230"",""ほのおのつるぎの特性"",""たたき変化（倍半）""]"
